Cloudiness,Weather_type,latitude,longitude,City_id,Visibility,CountryID,Country,Sunrise_Time,Sunset_Time,Temperature,humidity,pressure,Min_temp,Max_temp,Wind_Speeed,Data_cal_Time,cod
40,Clouds,35.31,-80.76,420022428,16093,1775,US,24-03-2018 16:50,25-03-2018 05:08,276.64,69,1023,273.15,282.15,1.71,24-03-2018 11:25,200
90,Clouds,34.07,-84.26,420009252,16093,790,US,24-03-2018 17:04,25-03-2018 05:21,284.05,71,1022,283.15,285.15,1.16,24-03-2018 11:26,200
90,Clouds,33.64,-83.94,420012522,16093,780,US,24-03-2018 17:03,25-03-2018 05:20,283.78,71,1022,283.15,285.15,1.21,24-03-2018 11:26,200
90,Clouds,34.02,-84.27,420009260,16093,790,US,24-03-2018 17:04,25-03-2018 05:22,284.05,71,1022,283.15,285.15,1.16,24-03-2018 11:26,200
75,Clouds,33.88,-84.51,420007348,16093,767,US,24-03-2018 17:05,25-03-2018 05:22,283.78,66,1021,282.15,285.15,1.16,24-03-2018 11:26,200
75,Clouds,34.02,-84.36,420009271,16093,767,US,24-03-2018 17:05,25-03-2018 05:22,284.05,66,1021,283.15,285.15,1.56,24-03-2018 11:26,200
90,Clouds,33.79,-84.21,420010100,16093,790,US,24-03-2018 17:04,25-03-2018 05:21,283.97,71,1022,283.15,285.15,1.21,24-03-2018 11:26,200
90,Clouds,33.88,-84.24,420010107,16093,790,US,24-03-2018 17:04,25-03-2018 05:21,283.97,71,1022,283.15,285.15,1.21,24-03-2018 11:26,200
90,Clouds,33.99,-84.14,420010456,16093,780,US,24-03-2018 17:04,25-03-2018 05:21,283.93,71,1022,283.15,285.15,1.16,24-03-2018 11:26,200
20,Clouds,22.9,72.99,200017328,6000,7758,IN,24-03-2018 06:38,24-03-2018 18:50,308.15,20,1014,308.15,308.15,3.6,24-03-2018 11:00,200
20,Clouds,23.02,72.58,200015747,6000,7758,IN,24-03-2018 06:39,24-03-2018 18:52,308.15,20,1014,308.15,308.15,3.6,24-03-2018 11:00,200
20,Clouds,23.02,72.41,200016896,6000,7758,IN,24-03-2018 06:40,24-03-2018 18:52,308.15,20,1014,308.15,308.15,3.6,24-03-2018 11:00,200
20,Clouds,23.02,72.58,200015673,6000,7758,IN,24-03-2018 06:39,24-03-2018 18:52,308.15,20,1014,308.15,308.15,3.6,24-03-2018 11:00,200
20,Clouds,22.9,72.99,200015677,6000,7758,IN,24-03-2018 06:38,24-03-2018 18:50,308.15,20,1014,308.15,308.15,3.6,24-03-2018 11:00,200
20,Clouds,23.02,72.58,200015637,6000,7758,IN,24-03-2018 06:39,24-03-2018 18:52,308.15,20,1014,308.15,308.15,3.6,24-03-2018 11:00,200
20,Clouds,23.09,72.48,200016099,6000,7758,IN,24-03-2018 06:40,24-03-2018 18:52,308.15,20,1014,308.15,308.15,3.6,24-03-2018 11:00,200
20,Clouds,23.22,72.65,200015844,6000,7758,IN,24-03-2018 06:39,24-03-2018 18:51,308.15,20,1014,308.15,308.15,3.6,24-03-2018 11:00,200
20,Clouds,12.71,77.7,200054850,8000,7821,IN,24-03-2018 06:20,24-03-2018 18:30,301.88,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.97,77.53,200055692,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.93,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.71,77.7,200054850,8000,7821,IN,24-03-2018 06:20,24-03-2018 18:30,301.88,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.98,77.59,200056313,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.94,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.85,77.64,200056923,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.9,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.98,77.59,200057011,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.94,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,13.12,77.57,200056866,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,302.01,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,13.43,77.52,200057080,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:31,302.06,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
